@relation 'breast-cancer-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,8-9,24,31-32,34-37,49_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A38-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Class {no-recurrence-events,recurrence-events}

@data
0.027329,0.145111,0.053272,-0.104581,-0.016094,0.014503,0.084082,-0.093384,-0.038635,0.005508,-0.032298,0.139716,0.044259,0.077911,0.112707,-0.016412,-0.021876,0.016396,-0.016277,-0.030395,0.080345,-0.123631,-0.048762,-0.058369,-0.010643,0.018191,0.102087,0.035023,-0.029502,-0.067697,0.038325,0.033039,-0.033953,-0.001036,0.013621,0.020675,-0.002936,-0.010893,recurrence-events
0.023728,-0.001679,-0.006176,0.024326,0.02834,0.027351,-0.083338,-0.0625,-0.012024,0.015152,-0.18159,0.071845,0.079354,0.071578,0.032629,-0.064996,-0.072535,0.042153,0.021809,0.035035,-0.121651,0.080226,0.085516,-0.00185,-0.02462,0.001101,-0.016199,0.003895,0.043008,-0.031076,0.031245,0.053181,-0.004961,-0.055541,-0.050588,-0.078934,-0.007697,0.097139,no-recurrence-events
0.080795,-0.077179,-0.072461,0.094638,-0.008281,0.089699,-0.050196,-0.073364,0.049256,0.037735,-0.039134,-0.07171,-0.045585,-0.08548,0.012121,0.002143,-0.104152,-0.045615,0.021809,-0.025512,0.022728,0.02383,0.008855,-0.079365,0.065774,0.000125,-0.068812,-0.007946,0.067178,0.04656,-0.053472,-0.009441,0.027571,-0.032775,0.013133,0.041183,-0.044929,-0.013823,recurrence-events
0.10116,0.074751,0.025567,-0.037544,-0.013849,0.099261,-0.000784,-0.20744,0.034913,0.020309,0.048544,-0.022405,-0.067701,-0.026351,0.157343,-0.002182,-0.060436,-0.031472,0.016481,-0.060388,0.020526,-0.024444,-0.057098,-0.056991,0.053425,-0.053306,-0.005763,-0.038316,-0.031979,-0.03488,0.011234,-0.112136,0.053922,-0.093897,-0.047882,0.079282,-0.011033,-0.087073,no-recurrence-events
-0.024978,0.018707,0.016773,-0.116299,0.029805,-0.028221,0.128271,-0.041138,0.002136,-0.030136,-0.024241,-0.028741,-0.062919,-0.026185,0.078039,0.050971,-0.045314,0.000283,0.014607,-0.000609,0.00399,-0.099217,-0.008234,-0.038105,0.002541,-0.00012,-0.022913,0.062855,-0.097129,0.132986,0.006098,0.082356,-0.083635,0.181337,-0.000051,-0.041825,0.014642,-0.003081,recurrence-events
0.008631,-0.090777,-0.018867,0.030816,-0.051935,-0.06114,-0.103079,0.129474,0.025147,-0.067582,-0.049113,-0.037054,0.045336,-0.0233,0.026484,-0.007064,0.080677,-0.053444,0.009156,0.047034,-0.063581,0.03415,0.103059,-0.031601,0.046834,-0.005455,0.055028,0.028578,0.03809,-0.025115,0.031741,-0.021803,-0.052523,0.066503,-0.063995,-0.05646,-0.078416,-0.084143,no-recurrence-events
-0.023941,0.030853,-0.012158,0.067294,0.132344,-0.002098,-0.0375,-0.011353,-0.019104,-0.03746,-0.026439,0.090888,0.040353,0.04544,-0.055261,-0.014458,0.083593,-0.012901,0.02718,-0.018676,0.062523,-0.029881,0.035223,0.016826,0.013283,-0.011106,0.034704,-0.044078,0.032022,0.008475,-0.047613,0.02718,-0.085222,0.033632,0.135691,-0.069168,-0.062507,-0.038237,no-recurrence-events
-0.024429,-0.004303,0.079639,-0.077237,-0.002422,-0.023583,0.035253,0.019897,-0.032776,0.015274,-0.017649,0.081122,0.00129,-0.042451,-0.014246,0.061713,0.01328,-0.057822,-0.013836,-0.055785,0.083031,-0.063084,0.043035,0.007061,-0.013084,0.009402,-0.088831,0.00475,-0.024619,-0.0384,-0.016363,0.068196,-0.010515,0.0766,0.004832,0.04216,-0.000983,-0.07144,no-recurrence-events
0.070542,0.072326,0.098194,0.024326,0.054707,0.033607,0.144323,0.058227,-0.070862,0.074112,0.162648,-0.128472,0.154305,-0.035843,0.090002,-0.071099,0.046788,-0.082236,0.035481,0.056275,0.084404,-0.008275,0.003729,-0.094502,-0.008445,-0.103391,-0.053187,0.059315,0.058755,0.058523,0.054194,0.022908,0.05522,-0.003539,0.022166,0.047043,0.091302,-0.042143,no-recurrence-events
-0.01676,-0.178667,0.164239,0.050347,0.006659,0.065813,0.153269,-0.095135,-0.121337,-0.106645,0.081747,-0.083929,-0.036207,0.032364,-0.06336,-0.108627,-0.097057,-0.170632,0.099488,0.01969,-0.111432,0.205048,0.032746,0.069962,-0.07426,-0.127525,0.086766,-0.194078,-0.028317,-0.107146,-0.145993,0.077806,-0.147249,-0.058497,-0.070831,-0.079897,-0.035447,0.007654,no-recurrence-events
